Day,AnimalsCount,GrassCount,FreeFields,AvgAnimalEnergy,AvgDaysAlive,AvgChildCount,MostPopularGen
1;40;169;4831;100;0;0;[4  5  4  5  2  3  3  4  7  6]
2;40;268;4732;95;0;0;[4  5  4  5  2  3  3  4  7  6]
3;40;368;4632;91;0;0;[4  5  4  5  2  3  3  4  7  6]
4;40;465;4535;86;0;0;[4  5  4  5  2  3  3  4  7  6]
5;40;560;4440;82;0;0;[4  5  4  5  2  3  3  4  7  6]
6;40;658;4342;79;0;0;[4  5  4  5  2  3  3  4  7  6]
7;40;751;4249;75;0;0;[4  5  4  5  2  3  3  4  7  6]
8;40;844;4156;72;0;0;[4  5  4  5  2  3  3  4  7  6]
9;40;937;4063;70;0;0;[4  5  4  5  2  3  3  4  7  6]
10;40;1030;3970;67;0;0;[4  5  4  5  2  3  3  4  7  6]
11;40;1122;3878;65;0;0;[4  5  4  5  2  3  3  4  7  6]
12;40;1214;3786;63;0;0;[4  5  4  5  2  3  3  4  7  6]
13;40;1263;3737;61;0;0;[4  5  4  5  2  3  3  4  7  6]
14;40;1282;3718;60;0;0;[4  5  4  5  2  3  3  4  7  6]
15;40;1301;3699;59;0;0;[4  5  4  5  2  3  3  4  7  6]
16;40;1321;3679;59;0;0;[4  5  4  5  2  3  3  4  7  6]
17;40;1339;3661;58;0;0;[4  5  4  5  2  3  3  4  7  6]
18;40;1356;3644;57;0;0;[4  5  4  5  2  3  3  4  7  6]
19;40;1374;3626;57;0;0;[4  5  4  5  2  3  3  4  7  6]
20;40;1392;3608;56;0;0;[4  5  4  5  2  3  3  4  7  6]
21;28;1412;3588;79;6;0;[4  5  4  5  2  3  3  4  7  6]
22;28;1431;3569;78;6;0;[4  5  4  5  2  3  3  4  7  6]
23;28;1450;3550;77;6;0;[4  5  4  5  2  3  3  4  7  6]
24;19;1469;3531;114;10;0;[4  5  4  5  2  3  3  4  7  6]
25;19;1489;3511;115;10;0;[4  5  4  5  2  3  3  4  7  6]
26;19;1509;3491;117;10;0;[4  5  4  5  2  3  3  4  7  6]
27;12;1529;3471;190;13;0;[4  5  4  5  2  3  3  4  7  6]
28;13;1549;3451;195;13;0;[4  5  4  5  2  3  3  4  7  6]
29;13;1569;3431;185;13;0;[4  5  4  5  2  3  3  4  7  6]
30;13;1588;3412;207;13;0;[4  5  4  5  2  3  3  4  7  6]
31;13;1608;3392;197;13;0;[4  5  4  5  2  3  3  4  7  6]
32;13;1628;3372;205;13;0;[4  5  4  5  2  3  3  4  7  6]
33;13;1648;3352;211;13;0;[4  5  4  5  2  3  3  4  7  6]
34;13;1668;3332;219;13;0;[4  5  4  5  2  3  3  4  7  6]
35;14;1688;3312;225;13;0;[4  5  4  5  2  3  3  4  7  6]
36;15;1707;3293;216;13;0;[4  5  4  5  2  3  3  4  7  6]
37;16;1727;3273;209;13;1;[4  5  4  5  2  3  3  4  7  6]
38;17;1747;3253;202;13;1;[4  5  4  5  2  3  3  4  7  6]
39;18;1767;3233;197;13;1;[4  5  4  5  2  3  3  4  7  6]
40;19;1787;3213;192;13;1;[0  3  5  1  5  6  0  4  5  7]
41;19;1807;3193;189;13;1;[0  3  5  1  5  6  0  4  5  7]
42;20;1827;3173;197;13;1;[0  3  5  1  5  6  0  4  5  7]
43;21;1847;3153;194;13;1;[3  5  3  2  7  3  7  4  5  2]
44;23;1867;3133;191;13;1;[3  5  3  2  7  3  7  4  5  2]
45;25;1887;3113;181;13;1;[3  5  3  2  7  3  7  4  5  2]
46;26;1907;3093;172;13;1;[3  5  3  2  7  3  7  4  5  2]
47;27;1927;3073;171;13;1;[3  5  3  2  7  3  7  4  5  2]
48;27;1947;3053;171;13;1;[3  5  3  2  7  3  7  4  5  2]
49;27;1966;3034;177;13;1;[3  5  3  2  7  3  7  4  5  2]
50;29;1984;3016;184;13;1;[3  5  3  2  7  3  7  4  5  2]
51;29;2004;2996;183;14;1;[3  5  3  2  7  3  7  4  5  2]
52;30;2023;2977;183;14;1;[3  5  3  2  7  3  7  4  5  2]
53;34;2043;2957;182;14;1;[3  5  3  2  7  3  7  4  5  2]
54;35;2062;2938;164;14;1;[3  5  3  2  7  3  7  4  5  2]
55;37;2082;2918;165;14;1;[3  5  3  2  7  3  7  4  5  2]
56;39;2102;2898;161;14;1;[3  5  3  2  7  3  7  4  5  2]
57;42;2121;2879;158;14;1;[3  5  3  2  7  3  7  4  5  2]
58;45;2141;2859;152;14;2;[3  5  3  2  7  3  7  4  5  2]
59;46;2159;2841;145;14;2;[3  5  3  2  7  3  7  4  5  2]
60;48;2176;2824;149;14;2;[3  5  3  2  7  3  7  4  5  2]
61;48;2195;2805;149;14;2;[3  5  3  2  7  3  7  4  5  2]
62;48;2215;2785;158;14;2;[3  5  3  2  7  3  7  4  5  2]
63;49;2235;2765;161;14;2;[3  5  3  2  7  3  7  4  5  2]
64;52;2254;2746;164;14;2;[3  5  3  2  7  3  7  4  5  2]
65;54;2272;2728;161;14;2;[3  5  3  2  7  3  7  4  5  2]
66;58;2292;2708;165;14;2;[3  5  3  2  7  3  7  4  5  2]
67;64;2311;2689;157;14;2;[3  5  3  2  7  3  7  4  5  2]
68;69;2329;2671;147;14;2;[3  5  3  2  7  3  7  4  5  2]
69;75;2347;2653;141;14;2;[0  3  5  4  2  6  0  4  1  6]
70;83;2365;2635;134;14;2;[0  3  5  4  2  6  0  4  1  6]
71;90;2384;2616;125;14;2;[0  3  5  4  2  6  0  4  1  6]
72;94;2401;2599;122;14;2;[0  3  5  4  2  6  0  4  1  6]
73;98;2419;2581;120;14;2;[0  7  5  4  7  7  6  4  5  6]
74;101;2436;2564;122;15;2;[0  7  5  4  7  7  6  4  5  6]
75;112;2453;2547;122;15;2;[0  7  5  4  7  7  6  4  5  6]
76;119;2471;2529;115;15;2;[0  7  5  4  7  7  6  4  5  6]
77;126;2489;2511;111;15;2;[0  7  5  4  7  7  6  4  5  6]
78;141;2505;2495;109;15;2;[0  7  5  4  7  7  6  4  5  6]
79;149;2520;2480;102;15;2;[0  7  5  4  7  7  6  4  5  6]
80;160;2538;2462;100;15;2;[0  7  5  4  7  7  6  4  5  6]
81;167;2552;2448;95;15;2;[0  7  5  4  7  7  6  4  5  6]
82;174;2562;2438;94;15;2;[0  7  5  4  7  7  6  4  5  6]
83;180;2573;2427;96;15;2;[0  7  5  4  7  7  6  4  5  6]
84;191;2587;2413;93;15;2;[0  7  5  4  7  7  6  4  5  6]
85;202;2613;2387;90;15;2;[0  7  5  4  7  7  6  4  5  6]
86;213;2613;2387;86;15;2;[0  7  5  4  7  7  6  4  5  6]
87;223;2634;2366;84;15;2;[3  1  0  1  7  6  0  1  5  7]
88;225;2646;2354;83;15;2;[3  1  0  1  7  6  0  1  5  7]
89;226;2664;2336;84;15;2;[3  1  0  1  7  6  0  1  5  7]
90;237;2673;2327;82;15;2;[3  1  0  1  7  6  0  1  5  7]
91;242;2684;2316;81;15;2;[3  1  0  1  7  6  0  1  5  7]
92;245;2692;2308;79;15;2;[3  1  0  1  7  6  0  1  5  7]
93;246;2707;2293;80;15;2;[3  5  3  2  7  3  7  4  5  2]
94;248;2721;2279;81;15;2;[3  5  3  2  7  3  7  4  5  2]
95;250;2730;2270;79;15;2;[3  5  3  2  7  3  7  4  5  2]
