Day,AnimalsCount,GrassCount,FreeFields,AvgAnimalEnergy,AvgDaysAlive,AvgChildCount,MostPopularGen
51,29,1979,3021,179.31034482758622,10.628950677896846,0.9310344827586207,[6  0  4  0  1  3  2  6  5  5]
52,29,1996,3004,182.06896551724137,10.628950677896846,0.9310344827586207,[6  0  4  0  1  3  2  6  5  5]
53,29,2013,2987,184.82758620689654,10.628950677896846,0.9310344827586207,[6  0  4  0  1  3  2  6  5  5]
54,28,2030,2970,195.35714285714286,11.326606120116905,0.9642857142857143,[6  0  4  0  1  3  2  6  5  5]
55,28,2045,2955,199.46428571428572,11.326606120116905,0.9642857142857143,[6  0  4  0  1  3  2  6  5  5]
56,28,2064,2936,204.64285714285714,11.326606120116905,0.9642857142857143,[6  0  4  0  1  3  2  6  5  5]
57,28,2081,2919,208.21428571428572,11.326606120116905,0.9642857142857143,[6  0  4  0  1  3  2  6  5  5]
58,28,2101,2899,212.85714285714286,11.326606120116905,0.9642857142857143,[6  0  4  0  1  3  2  6  5  5]
59,29,2121,2879,215.89285714285714,11.326606120116905,0.9642857142857143,[6  0  4  0  1  3  2  6  5  5]
60,28,2140,2860,218.39285714285714,11.463631010829102,1.0357142857142858,[6  0  4  0  1  3  2  6  5  5]
61,28,2158,2842,221.96428571428572,11.463631010829102,1.0357142857142858,[6  0  4  0  1  3  2  6  5  5]
62,29,2172,2828,226.07142857142858,11.463631010829102,1.0357142857142858,[6  0  4  0  1  3  2  6  5  5]
63,29,2192,2808,224.31034482758622,11.463631010829102,1.0689655172413792,[6  0  4  0  1  3  2  6  5  5]
64,29,2212,2788,227.58620689655172,11.463631010829102,1.0689655172413792,[6  0  4  0  1  3  2  6  5  5]
65,29,2231,2769,231.3793103448276,11.463631010829102,1.0689655172413792,[6  0  4  0  1  3  2  6  5  5]
66,29,2249,2751,235.68965517241378,11.463631010829102,1.0689655172413792,[6  0  4  0  1  3  2  6  5  5]
67,29,2268,2732,241.55172413793105,11.463631010829102,1.0689655172413792,[6  0  4  0  1  3  2  6  5  5]
68,28,2284,2716,255.71428571428572,11.595848010639118,1.1071428571428572,[6  0  4  0  1  3  2  6  5  5]
69,28,2300,2700,262.5,11.595848010639118,1.1071428571428572,[6  0  4  0  1  3  2  6  5  5]
70,29,2319,2681,269.2857142857143,11.595848010639118,1.1071428571428572,[6  0  4  0  1  3  2  6  5  5]
71,31,2334,2666,264.48275862068965,11.595848010639118,1.1379310344827587,[6  0  4  0  1  3  2  6  5  5]
72,31,2351,2649,261.3333333333333,12.5859172104618,1.2333333333333334,[6  0  4  0  1  3  2  6  5  5]
73,32,2368,2632,258.2258064516129,12.5859172104618,1.2580645161290323,[6  0  4  0  1  3  2  6  5  5]
74,33,2385,2615,255.15625,12.5859172104618,1.28125,[6  0  4  0  1  3  2  6  5  5]
75,34,2401,2599,252.12121212121212,12.5859172104618,1.303030303030303,[6  0  4  0  1  3  2  6  5  5]
76,36,2420,2580,249.55882352941177,12.5859172104618,1.3235294117647058,[6  0  4  0  1  3  2  6  5  5]
77,37,2437,2563,238.88888888888889,12.5859172104618,1.3611111111111112,[6  0  4  0  1  3  2  6  5  5]
78,38,2453,2547,235.67567567567568,12.5859172104618,1.3783783783783783,[6  0  4  0  1  3  2  6  5  5]
79,39,2469,2531,239.59459459459458,13.547889016190302,1.4054054054054055,[6  0  4  0  1  3  2  6  5  5]
80,39,2488,2512,230.64102564102564,13.547889016190302,1.435897435897436,[6  0  4  0  1  3  2  6  5  5]
81,39,2504,2496,234.10256410256412,13.547889016190302,1.435897435897436,[6  0  4  0  1  3  2  6  5  5]
82,40,2522,2478,239.10256410256412,13.547889016190302,1.435897435897436,[6  0  4  0  1  3  2  6  5  5]
83,43,2540,2460,236.5,13.547889016190302,1.45,[6  0  4  0  1  3  2  6  5  5]
84,45,2557,2443,228.6904761904762,13.89183646191746,1.4761904761904763,[6  0  4  0  1  3  2  6  5  5]
85,48,2574,2426,217.44444444444446,13.89183646191746,1.511111111111111,[6  0  4  0  1  3  2  6  5  5]
86,52,2589,2411,208.54166666666666,13.89183646191746,1.5416666666666667,[6  0  4  0  1  3  2  6  5  5]
87,54,2607,2393,196.82692307692307,13.89183646191746,1.5769230769230769,[6  0  4  0  1  3  2  6  5  5]
